user_id,ethnicity,religion,sexualOrientation,OtherRacialBias,Positive Attitude,Neutral Attitude,Negative Attitude
[145, 6.731287022078621e-05, 0.00043252595155709344, 0.00018484288354898336, 7.682851874615857e-05, 0.00011071744906997343, 7.41399762752076e-05, 7.51653638003608e-05]
[384, 6.731287022078621e-05, 0.00043252595155709344, 0.00018484288354898336, 7.682851874615857e-05, 0.00011071744906997343, 7.41399762752076e-05, 7.51653638003608e-05]
[432, 6.731287022078621e-05, 0.00043252595155709344, 0.00018484288354898336, 7.682851874615857e-05, 0.00011071744906997343, 7.41399762752076e-05, 7.51653638003608e-05]
[996, 6.731287022078621e-05, 0.00043252595155709344, 0.00018484288354898336, 7.682851874615857e-05, 0.00011071744906997343, 7.41399762752076e-05, 7.51653638003608e-05]
[147, 8.608942744984774e-07, 3.741573975407383e-06, 1.366675663948121e-06, 8.971984364947835e-07, 6.86467797599481e-07, 1.275242771044496e-06, 6.32781174506946e-07]
[769, 5.709088346674113e-07, 3.7415739754073825e-07, 2.050013495922181e-07, 8.263669809820376e-08, 3.432338987997405e-07, 3.18810692761124e-07, 3.389899149144354e-07]
[102, 9.062044994720816e-09, 1.1224721926222147e-06, 2.5283499783040237e-06, 3.541572775637303e-08, 1.7161694939987025e-07, 1.2092819380594359e-07, 2.824915957620295e-07]
[812, 9.062044994720816e-09, 7.483147950814765e-07, 5.466702655792484e-07, 1.1805242585457677e-08, 9.806682822849729e-08, 3.2980416492530066e-08, 4.519865532192472e-08]
[555, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[727, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[781, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[815, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[842, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[879, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[942, 9.062044994720816e-09, 3.7415739754073825e-07, 6.833378319740605e-08, 1.1805242585457677e-08, 2.4516707057124322e-08, 1.0993472164176692e-08, 1.129966383048118e-08]
[487, 4.2272463525454535e-09, 4.854983532103005e-09, 2.0462241918631754e-09, 1.3332595728812839e-09, 5.47228536616061e-09, 2.978213766896621e-09, 3.363399636853989e-09]
[563, 1.1589852914626782e-10, 3.2366556880686705e-09, 5.05240541200784e-10, 1.3786085379452727e-10, 1.5200792683779474e-10, 1.8909293758073786e-10, 9.512645437566839e-11]
[355, 9.829842940515447e-13, 6.719700390453987e-11, 1.5894998172342597e-10, 4.512040850988677e-12, 7.30418957568677e-12, 2.1898218305242624e-11, 2.2165665105575166e-11]
[258, 3.293958196788665e-11, 3.2366556880686703e-10, 2.5262027060039204e-11, 1.4511668820476553e-11, 4.885969076929117e-11, 2.445167296302645e-11, 2.038424022335751e-11]
