user_id,created_at,location,favorite_count,retweet_count,text
cit_collins,Tue Nov 29 01:11:20 +0000 2016,WillieVille,0,0,"... this just in: Spokesperson for batshit crazy ppl FURIOUS other WS banned by airline, yet Michaels didn't ban her https://t.co/NsqEqgmQxd"
HEINSLERJAN,Tue Nov 29 01:11:20 +0000 2016,,0,0,"RT @DanielBice: If you have a job interview w the president-elect, how do you dress? If you're @SheriffClarke, this is the answer.… "
varepall,Tue Nov 29 01:11:20 +0000 2016,"Reston, Virginia",0,0,"Radical Democrats stay with Hillary, Black Lives Matter, and Castro.  Any moderate Democrats remaining CHANGE PARTY AFFILIATION NOW.

VRA"
g_w_ynplaine,Tue Nov 29 01:11:20 +0000 2016,agender,0,0,"@MotherKrae @deerblossom @AnnyeongBom gay or not, nobody likes dicks honestly"
lonely1one11,Tue Nov 29 01:11:20 +0000 2016,  ابوظبي..دبي,0,0,"سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته
♻️ https://t.co/VrJehAPZ7T"
charlosurbina,Tue Nov 29 01:11:20 +0000 2016,,0,0,Okay but is this even real or que pex https://t.co/iZAZiTuc8Y
JasonMB,Tue Nov 29 01:11:20 +0000 2016,Austin TX,0,0,@TinaDayton I use to love Gilmore Girls when it was airing because I was in a female dominated dept so lots of ppl to talk to.
Photo_VideoPro,Tue Nov 29 01:11:20 +0000 2016,"Washington, DC",0,0,"RT @NaYaKnoMi: james comey, the director of the @fbi, is a certified misogynistic patriarchal white supremacist terrorist working with puti…"
crazyarchitect,Tue Nov 29 01:11:20 +0000 2016,,0,0,Harvest of nuisance black bears in New Jersey reducing human-bear conflicts https://t.co/z9FiijTlUn https://t.co/T2ohohLSYq
la_osadia,Tue Nov 29 01:11:20 +0000 2016,"Querétaro, Querétaro Arteaga",0,0,Algo que caracteriza a las parejas LGBT es explorar la sexualidad... une película de cuando el amor se vuelve de 3 👬https://t.co/QjIgW3ExRI…
0505786550,Tue Nov 29 01:11:20 +0000 2016,,0,0,"أعوذ بكلمات الله التامات من شر ما خلق
♻️ https://t.co/VqrWK451e4"
mcmillan_vicky,Tue Nov 29 01:11:20 +0000 2016,Rickmansworth/Liverpool,0,0,"Was just falling asleep and next door started playing the kill bill track, srsly thought Black Mamba was gunna come get me"
nubiagoehlen,Tue Nov 29 01:11:20 +0000 2016,Brasil,0,0,RT @amyackcr: I AM SO GAY https://t.co/TvmpzeUbhk
LaserObsidian,Tue Nov 29 01:11:20 +0000 2016,,0,0,RT @Flightcase_WH: Celebrate our new Black Edition product and win matte black case w/ spirit &amp; shot glasses. Like or Retweet to enter… 
TyyDaddy,Tue Nov 29 01:11:20 +0000 2016,,0,0,RT @Delo_Taylor: 21yo Black man Cleon Hodge faces 2 &amp; 1/2 years in prison for bumping into a Cambridge police officer on the street. https:…
bennymcfly_,Tue Nov 29 01:11:20 +0000 2016,,0,0,RT @skrongmeat_: black only crack if the black do crack  https://t.co/9Egi06bsno
analleli_hm,Tue Nov 29 01:11:20 +0000 2016,,0,0,"RT @MarkRuffalo: ""Neo-Nazi"" The Associated Press defined 'alt-right' and the white supremacists are not going to like it https://t.co/sv6E6…"
tchucosucesso,Tue Nov 29 01:11:20 +0000 2016,cerra,0,0,Me machuquei no bgl da moto prendeu minha pele kkk bgl doido
phaelolii,Tue Nov 29 01:11:20 +0000 2016,,0,0,@rchamarcelo @cleciogls Deus é mais kkk
Fiuxru_Builwa,Tue Nov 29 01:11:20 +0000 2016,"Michigan, USA",0,0,Sony PlayStation 3 Launch Edition 80GB Piano Black Console (CECH-K01) https://t.co/os2GmmCifv https://t.co/GC8IKGHrc2
Everyfuck,Tue Nov 29 01:11:20 +0000 2016,,0,0,7th Circuit can make civil rights history for gay and lesbian employees - Reuters https://t.co/1KVJSxU6VK #Lesbian
tamer_elsadek1,Tue Nov 29 01:11:20 +0000 2016,"Ash sharqiya, Eygpf",0,0,"سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته
♻️ https://t.co/yUbgrHr3fZ"
MusicSexArt,Tue Nov 29 01:11:20 +0000 2016,,0,0,FOLLOW ME #MusicSexArt #gays #gay #bi #gaylove #gayboy #gayboys #biboy #biboys https://t.co/KaE9miqYas
_KayeZee,Tue Nov 29 01:11:20 +0000 2016,,0,0,RT @slimmerellaaaa: Rft😍😍😍😍💦 that's some nice white chocolate!!!! https://t.co/pKDW9w9gzd
Everyfuck,Tue Nov 29 01:11:20 +0000 2016,,0,0,After Trump Won: What This Long-Lived Lesbian Did Next - Curve Magazine https://t.co/62ukX1ymZL #Lesbian
armchairadmiral,Tue Nov 29 01:11:20 +0000 2016,"New York, USA",0,0,"RT @mitchellvii: Since we won the House, the Senate, the White House and Brexit, I can only surmise that stealing elections is harder than…"
MatherneShane,Tue Nov 29 01:11:20 +0000 2016,"Luling, LA",0,0,RT @BigStick2013: History will show Soros ruined Black Americans  for decades -- That is when the Dems finally figure it out? -- Trump will…
angryunnie,Tue Nov 29 01:11:20 +0000 2016,지구,0,0,svt don't enable homophobia tell us these articles are wrong
quiana_mj,Tue Nov 29 01:11:20 +0000 2016,,0,0,"RT @JamzLdn: Fuck feds, always and forever https://t.co/I8wqxxKo4W"
MBCC_MHBT,Tue Nov 29 01:11:21 +0000 2016,Everywhere,0,0,Always impt info @obogler's Male Breast Cancer Weekly ▸ https://t.co/1ep8hAiw68 #bcsm #menhavebreaststoo #malebreastcancer #brca
PeachWhitesel,Tue Nov 29 01:11:21 +0000 2016,,0,0,RT @Delo_Taylor: 21yo Black man Cleon Hodge faces 2 &amp; 1/2 years in prison for bumping into a Cambridge police officer on the street. https:…
gusceragioli,Tue Nov 29 01:11:21 +0000 2016,,0,0,"Gostei de um vídeo @YouTube de @frontiersrec https://t.co/hJAQlMqV1a Lords Of Black - ""Innuendo"" (Official Audio: Queen Cover)"
zenstrive,Tue Nov 29 01:11:20 +0000 2016,Balikpapan,0,0,Pak @BareskrimPolri @DivHumasPolri ini tolong ada yang memfitnah orang-orang muslim https://t.co/HKk8r9VKXW
OneFineJay,Tue Nov 29 01:11:21 +0000 2016,"Baltimore, MD",0,0,"I HATE ""yinz.""
""Y'all"" is too Southern.
""You people"" is too racist-sounding."
PinaycamsCams,Tue Nov 29 01:11:21 +0000 2016,,0,0,AyaDoll is currently Live Free Chat #pinay #filipina #philippines #asian #asia #pussy #ass #sex #sexo #sexe #booty … https://t.co/BKBeiP8Cin
OccuWorld,Tue Nov 29 01:11:21 +0000 2016,Earth,0,0,"Fresno Islamic Cultural Center receives letter threatening Muslim genocide, praising Trump https://t.co/PrgqfD1yUV"
mahalohaloha7,Tue Nov 29 01:11:21 +0000 2016,yokohama,0,0,"F’s font-Tシャツ【White】 https://t.co/bTAxNwdnIX
白Ｔシャツ買いたかったけど、昨日の夕方には在庫確認中で 購入出来なかった(T_T)  昨日は急な用事で販売開始すぐに注文出来なかったから...
タオルだけなら先行じゃなくてもいいかな..."
SlimThaGoddess_,Tue Nov 29 01:11:21 +0000 2016,in my skin,0,0,RT @ReidGoneReid: Domynique Marrero for Miss Black NC USA https://t.co/7QrxJPa9UX
regisr_,Tue Nov 29 01:11:21 +0000 2016,NYC,0,0,New Lace White/Ivory Wedding Bridal Gown Dress Custom Size 6-8-10-12-14-16  via eBay https://t.co/FMZ7SJ8FEQ https://t.co/axe4r3KHuR
peach_eeks,Tue Nov 29 01:11:21 +0000 2016,花樣年華,0,0,"RT @newless78: Black jaguar &amp; JUNGKOOK
20th birthday
너의 아름다움이야.
[@headliner_jk]사진참고
Do not QT or REPOST X
#HappyJKday #정국 #JUNGKOOK https:/…"
rxihiwutmcm2,Tue Nov 29 01:11:21 +0000 2016,,0,0,Cindy Uses Her Asian Lips To Suck A Cock https://t.co/SEoDtgxIlW
headnotthetail2,Tue Nov 29 01:11:21 +0000 2016, Kingdom of Yahweh,0,0,"RT @Ebony_QT: Give plus size black women leading roles. Not the funny friend, or the constant punch line. https://t.co/GwsOpA9Rcg"
JAYPIRESJR,Tue Nov 29 01:11:21 +0000 2016,"New Bedford, MA",0,0,Fuck . Corn beef n white rice is 🔥
narutorulez,Tue Nov 29 01:11:21 +0000 2016,i live in murica ( konoha),0,0,@JuliaFortney Not a muslim ? what's next is smoking healthy ? he was a muslim
UL_Gang,Tue Nov 29 01:11:21 +0000 2016,United States,0,0,Action Bronson - Muslim Wedding (Statik Selektah Remix) | https://t.co/w4qAZeK49z | #UL
misssrockybby,Tue Nov 29 01:11:21 +0000 2016,"Georgia, USA",0,0,RT @KremeOverHoes: Yall niggas gay for flirtin with my girl. Her dm and notications comes to my phone so basically u flirtin with me. 🐸☕️
jefflcohen,Tue Nov 29 01:11:21 +0000 2016,,0,0,"RT @PrisonPlanet: As soon as I found out the attacker was a Muslim Somali immigrant, I knew white people &amp; Trump were to blame. https://t.c…"
NewDeals_C61,Tue Nov 29 01:11:21 +0000 2016,,0,0,Moto G (4th G) Black - 16 GB - Unlocked #iphone #news #free #digital #shop #newdeals #cybe… https://t.co/1WscqqCp6p https://t.co/hI7cqLr663
CardFlame,Tue Nov 29 01:11:21 +0000 2016,,0,0,LastChanceEbay: New DSi - BLACK Plastic 3 Stylus Pens Pack (KMD KMD-DSI-0547) Styluses Pen https://t.co/Jya1CrnEDC #ebay #deals #toys #gam…
